in:Number_of_Skylights,in:Width[m],in:Height[m],out:area_over_2%DF[%],img
1,2,1,0,NumerodeLucernarios_1_Ancho(m)_0_Alto(m)_0_Top.png
2,2,1,39,NumerodeLucernarios_2_Ancho(m)_0_Alto(m)_0_Top.png
3,2,1,50,NumerodeLucernarios_3_Ancho(m)_0_Alto(m)_0_Top.png
1,4,1,30,NumerodeLucernarios_1_Ancho(m)_1_Alto(m)_0_Top.png
2,4,1,40,NumerodeLucernarios_2_Ancho(m)_1_Alto(m)_0_Top.png
3,4,1,52,NumerodeLucernarios_3_Ancho(m)_1_Alto(m)_0_Top.png
1,6,1,30,NumerodeLucernarios_1_Ancho(m)_2_Alto(m)_0_Top.png
2,6,1,39,NumerodeLucernarios_2_Ancho(m)_2_Alto(m)_0_Top.png
3,6,1,52,NumerodeLucernarios_3_Ancho(m)_2_Alto(m)_0_Top.png
1,2,1.5,32,NumerodeLucernarios_1_Ancho(m)_0_Alto(m)_1_Top.png
2,2,1.5,44,NumerodeLucernarios_2_Ancho(m)_0_Alto(m)_1_Top.png
3,2,1.5,55,NumerodeLucernarios_3_Ancho(m)_0_Alto(m)_1_Top.png
1,4,1.5,33,NumerodeLucernarios_1_Ancho(m)_1_Alto(m)_1_Top.png
2,4,1.5,46,NumerodeLucernarios_2_Ancho(m)_1_Alto(m)_1_Top.png
3,4,1.5,57,NumerodeLucernarios_3_Ancho(m)_1_Alto(m)_1_Top.png
1,6,1.5,34,NumerodeLucernarios_1_Ancho(m)_2_Alto(m)_1_Top.png
2,6,1.5,48,NumerodeLucernarios_2_Ancho(m)_2_Alto(m)_1_Top.png
3,6,1.5,59,NumerodeLucernarios_3_Ancho(m)_2_Alto(m)_1_Top.png
1,2,2,32,NumerodeLucernarios_1_Ancho(m)_0_Alto(m)_2_Top.png
2,2,2,44,NumerodeLucernarios_2_Ancho(m)_0_Alto(m)_2_Top.png
3,2,2,56,NumerodeLucernarios_3_Ancho(m)_0_Alto(m)_2_Top.png
1,4,2,35,NumerodeLucernarios_1_Ancho(m)_1_Alto(m)_2_Top.png
2,4,2,50,NumerodeLucernarios_2_Ancho(m)_1_Alto(m)_2_Top.png
3,4,2,62,NumerodeLucernarios_3_Ancho(m)_1_Alto(m)_2_Top.png
1,6,2,37,NumerodeLucernarios_1_Ancho(m)_2_Alto(m)_2_Top.png
2,6,2,53,NumerodeLucernarios_2_Ancho(m)_2_Alto(m)_2_Top.png
3,6,2,63,NumerodeLucernarios_3_Ancho(m)_2_Alto(m)_2_Top.png
1,2,1,30,NumerodeLucernarios_1_Ancho(m)_0_Alto(m)_0_Top.png
5,2,1,72,NumerodeLucernarios_5_Ancho(m)_0_Alto(m)_0_Top.png
5,4,1,75,NumerodeLucernarios_5_Ancho(m)_1_Alto(m)_0_Top.png
5,6,1,78,NumerodeLucernarios_5_Ancho(m)_2_Alto(m)_0_Top.png
5,2,1.5,81,NumerodeLucernarios_5_Ancho(m)_0_Alto(m)_1_Top.png
5,4,1.5,96,NumerodeLucernarios_5_Ancho(m)_1_Alto(m)_1_Top.png
5,6,1.5,98,NumerodeLucernarios_5_Ancho(m)_2_Alto(m)_1_Top.png
5,2,2,89,NumerodeLucernarios_5_Ancho(m)_0_Alto(m)_2_Top.png
5,4,2,99,NumerodeLucernarios_5_Ancho(m)_1_Alto(m)_2_Top.png
5,6,2,99,NumerodeLucernarios_5_Ancho(m)_2_Alto(m)_2_Top.png
10,2,1,99,NumerodeLucernarios_10_Ancho(m)_0_Alto(m)_0_Top.png
10,4,1,100,NumerodeLucernarios_10_Ancho(m)_1_Alto(m)_0_Top.png
10,2,1.5,100,NumerodeLucernarios_10_Ancho(m)_0_Alto(m)_1_Top.png
10,4,1.5,100,NumerodeLucernarios_10_Ancho(m)_1_Alto(m)_1_Top.png
10,2,2,100,NumerodeLucernarios_10_Ancho(m)_0_Alto(m)_2_Top.png
10,4,2,100,NumerodeLucernarios_10_Ancho(m)_1_Alto(m)_2_Top.png
15,2,1,100,NumerodeLucernarios_15_Ancho(m)_0_Alto(m)_0_Top.png
15,3,1,100,NumerodeLucernarios_15_Ancho(m)_1_Alto(m)_0_Top.png
15,2,1.5,100,NumerodeLucernarios_15_Ancho(m)_0_Alto(m)_1_Top.png
15,3,1.5,100,NumerodeLucernarios_15_Ancho(m)_1_Alto(m)_1_Top.png
15,2,2,100,NumerodeLucernarios_15_Ancho(m)_0_Alto(m)_2_Top.png
15,3,2,100,NumerodeLucernarios_15_Ancho(m)_1_Alto(m)_2_Top.png
20,2.25,1,100,NumerodeLucernarios_25_Ancho(m)_1_Alto(m)_0_Top.png
20,2.25,1.5,100,NumerodeLucernarios_25_Ancho(m)_1_Alto(m)_1_Top.png
20,2.25,2,100,NumerodeLucernarios_25_Ancho(m)_1_Alto(m)_2_Top.png
